id,fullName,contactNumber,emailAddress,residentialAddress,dateOfBirth,maritalStatus,children,faithBackground,areasOfInterest,emergencyContactName,emergencyContactRelationship,emergencyContactNumber,preferredLanguage
15,Kevin Yang,001-311-398-9454,comptonsandra@yahoo.com,"99159 Julie Trafficway Apt. 025 South Charlesmouth, KS 98683",1944-11-07,Single,Sonia Haas|Tammy Clay|Jennifer Shaffer|Jessica Silva,Catholic,Music Ministry|Outreach|Youth Ministry,Ashley Roberts,Mother,(710)253-6756,Chinese|Portuguese
16,Diane Williams,617.426.8157x683,julie72@yahoo.com,Unit 5878 Box 3907 DPO AE 67826,1975-12-04,Divorced,Holly Reeves|Heather Juarez|Matthew Walker|Lisa Coffey|David Thompson,Protestant,Music Ministry|Youth Ministry,Robert Morgan,Friend,107-304-7741x0731,Chinese
17,Cortana Rose,(489)516-8394x6663,james75@gmail.com,"2185 Elizabeth Windor Marlborough",1989-11-04,Married,Stephanie Carson|Rose Davidson,Pentecostal,Community Service|Youth Ministry|Music Ministry,Destiny Roberts,Sister,001-037-977-0578x24809,English|Chinese
18,David Rodriguez,291-367-5068x3651,kelly22@yahoo.com,"3464 John Springs Suite 631 New Mary, NJ 75580",1996-01-22,Widowed,Christina Travis,Protestant,Youth Ministry|Community Service,Lance Butler,Wife,+1-208-456-2319x907,Portuguese
19,Gerald Barnes,827-689-0235x99760,ronald43@yahoo.com,"074 James Radial Apt. 058 East Manuelfort, WY 97848",1993-05-29,Divorced,Alexis Atkinson|Brandy Morton|John Schneider|Sandra Miller|Nicholas Snyder,Protestant,Volunteer Work|Bible Study,Desiree Smith,Husband,604-182-0443x87811,Chinese
20,Stephanie Lester,097-006-0929x166,ryanstephen@yahoo.com,"3540 Karen Walk Suite 964 East Danielleberg, MT 96008",1996-10-01,Widowed,Frederick Miller|Robert Vazquez|Erin Dixon|Matthew Williams|Jacob Lane,Baptist,Outreach|Bible Study|Youth Ministry,Kyle Hanson,Sister,(782)934-7711,German|French
21,Linda Browning,(527)099-9601,joseph50@hotmail.com,"00620 Shirley Court East Michael, WA 03459",1947-07-06,Married,Don Jenkins|Brenda Adams|Randy Harrison|Robert Dominguez|John Doyle,Methodist,Bible Study,Andrew Gardner,Mother,(129)169-7937,German
22,Rebecca Ortega,221.569.8842x71181,jschaefer@shah-reed.com,"2384 Brian Light Mcleanshire, DE 85341",1992-10-23,Married,Dennis Byrd,None,Bible Study|Outreach,Bill Ramirez,Wife,4033636246,Portuguese|French
23,Tiffany Jones,+1-825-304-8772x378,denisecasey@mcdaniel.com,"8434 Connie Villages Apt. 355 Port Karina, KS 26022",1996-01-02,Single,Dawn Frost,Methodist,Music Ministry|Outreach|Volunteer Work,Charles Gilbert,Husband,+1-283-691-7162x1874,Chinese|English
24,Renee Peters,526.297.3602x65108,kyle81@medina.com,"9604 Ana Cliffs Port Gracefurt, DC 98696",2005-04-26,Single,James Brown|Hannah Alvarez|Johnny Turner|William Coleman|Edward White,Methodist,Outreach|Music Ministry,Renee Evans,Friend,(354)245-8081x414,Portuguese|Chinese
25,Dr. Ashley Martinez MD,404-612-3188x65708,aliceflores@hotmail.com,"254 Peterson Land Hernandezland, WI 32883",1951-12-21,Single,Brandon Harvey|Angela Turner|Jacob Warren,Methodist,Community Service|Volunteer Work,Cynthia Simon,Friend,+1-620-561-2301,German|French|Spanish
